Mods count: 382
 
jar name                                                                     | mod id (isMCreator)                                          | mixin configs
        /META-INF/jars/tags-2.1.1090+1.20.jar                                | porting_lib_tags                                             | porting_lib_tags.mixins.json
            /META-INF/jars/porting_lib_gametest-2.1.1090+1.20.jar            | porting_lib_gametest                                         | porting_lib_gametest.mixins.json
            /META-INF/jars/porting_lib_core-2.1.1090+1.20.jar                | porting_lib_core                                             | 
    /META-INF/jars/accessors-2.3.13+1.20.1.jar                               | porting_lib_accessors                                        | porting_lib_accessors.mixins.json
        /META-INF/jars/porting_lib_core-2.3.13+1.20.1.jar                    | porting_lib_core                                             | 
    /META-INF/jars/base-2.3.13+1.20.1.jar                                    | porting_lib_base                                             | porting_lib_base.mixins.json
        /META-INF/jars/porting_lib_tool_actions-2.3.13+1.20.1.jar            | porting_lib_tool_actions                                     | porting_lib_tool_actions.mixins.json
        /META-INF/jars/porting_lib_accessors-2.3.13+1.20.1.jar               | porting_lib_accessors                                        | porting_lib_accessors.mixins.json
        /META-INF/jars/toml-3.6.6.jar                                        | com_electronwill_night-config_toml                           | 
        /META-INF/jars/porting_lib_tags-2.3.13+1.20.1.jar                    | porting_lib_tags                                             | porting_lib_tags.mixins.json
        /META-INF/jars/reach-entity-attributes-2.4.0.jar                     | reach-entity-attributes                                      | mixins.reach-entity-attributes.json
        /META-INF/jars/porting_lib_fluids-2.3.13+1.20.1.jar                  | porting_lib_fluids                                           | porting_lib_fluids.mixins.json
        /META-INF/jars/porting_lib_lazy_registration-2.3.13+1.20.1.jar       | porting_lib_lazy_registration                                | 
        /META-INF/jars/porting_lib_core-2.3.13+1.20.1.jar                    | porting_lib_core                                             | 
        /META-INF/jars/porting_lib_utility-2.3.13+1.20.1.jar                 | porting_lib_utility                                          | 
        /META-INF/jars/porting_lib_entity-2.3.13+1.20.1.jar                  | porting_lib_entity                                           | porting_lib_entity.mixins.json
        /META-INF/jars/porting_lib_gui_utils-2.3.13+1.20.1.jar               | porting_lib_gui_utils                                        | porting_lib_gui_utils.mixins.json
        /META-INF/jars/porting_lib_transfer-2.3.13+1.20.1.jar                | porting_lib_transfer                                         | porting_lib_transfer.mixins.json
        /META-INF/jars/porting_lib_config-2.3.13+1.20.1.jar                  | porting_lib_config                                           | porting_lib_config.mixins.json
        /META-INF/jars/porting_lib_attributes-2.3.13+1.20.1.jar              | porting_lib_attributes                                       | porting_lib_attributes.mixins.json
        /META-INF/jars/porting_lib_common-2.3.13+1.20.1.jar                  | porting_lib_common                                           | porting_lib_common.mixins.json
        /META-INF/jars/core-3.6.6.jar                                        | com_electronwill_night-config_core                           | 
        /META-INF/jars/porting_lib_extensions-2.3.13+1.20.1.jar              | porting_lib_extensions                                       | porting_lib_extensions.mixins.json
        /META-INF/jars/porting_lib_mixin_extensions-2.3.13+1.20.1.jar        | porting_lib_mixin_extensions                                 | porting_lib_mixin_extensions.mixins.json
    /META-INF/jars/brewing-2.3.13+1.20.1.jar                                 | porting_lib_brewing                                          | porting_lib_brewing.mixins.json
        /META-INF/jars/porting_lib_core-2.3.13+1.20.1.jar                    | porting_lib_core                                             | 
